Name,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs,Spielerfahrung
Sam Mack,40,13.4,3.6,1.2,3.0,39.8,0.1,0.6,13.6,1.1,1.5,77.6,0.5,0.8,1.2,0.4,0.3,0.1,0.6,1.0,Unerfahren
Lorenzo Williams,27,13.2,1.3,0.6,1.3,47.2,0.0,0.0,0.0,0.1,0.3,28.6,0.6,1.4,2.0,0.2,0.2,0.6,0.3,1.0,Unerfahren
P.J. Hairston,45,30.6,5.6,1.9,6.0,32.3,1.1,3.6,30.1,0.7,0.8,86.1,0.5,1.6,2.0,0.5,0.5,0.3,0.5,0.0,Unerfahren
Elmore Spencer,44,12.8,2.4,1.0,1.9,53.7,0.0,0.0,0.0,0.4,0.7,50.0,0.4,1.0,1.4,0.2,0.2,0.4,0.6,1.0,Unerfahren
John Crotty,40,12.2,2.6,0.9,1.8,51.4,0.1,0.4,14.3,0.7,1.0,68.4,0.1,0.3,0.4,1.4,0.3,0.0,0.8,1.0,Unerfahren
Stephen Howard,49,10.6,2.1,0.7,1.9,37.6,0.0,0.0,0.0,0.7,1.1,64.2,0.5,0.7,1.2,0.2,0.3,0.2,0.5,0.0,Unerfahren
Randy Woods,41,8.4,1.7,0.6,1.6,34.8,0.1,0.3,21.4,0.5,0.6,73.1,0.1,0.2,0.3,1.0,0.3,0.0,0.4,0.0,Unerfahren
Larry Johnson,82,74.4,19.2,7.5,15.3,49.0,0.1,0.3,22.7,4.1,5.0,82.9,3.9,7.0,11.0,3.6,1.0,0.6,1.9,0.0,Erfahren
Larry Johnson,82,74.4,19.2,7.5,15.3,49.0,0.1,0.3,22.7,4.1,5.0,82.9,3.9,7.0,11.0,3.6,1.0,0.6,1.9,1.0,Erfahren
Billy Owens,80,62.8,14.3,5.9,11.1,52.5,0.0,0.1,11.1,2.6,3.9,65.4,3.0,5.0,8.0,2.4,1.1,0.8,2.2,1.0,Erfahren
Stacey Augmon,82,61.0,13.3,5.4,11.0,48.9,0.0,0.1,16.7,2.6,3.9,66.6,2.3,2.8,5.1,2.5,1.5,0.3,2.2,1.0,Erfahren
Mark Macon,76,60.6,10.6,4.4,11.7,37.5,0.1,0.4,13.3,1.8,2.4,73.0,1.1,1.8,2.9,2.2,2.0,0.2,2.0,1.0,Erfahren
Steven Smith,61,59.2,12.0,4.9,10.7,45.4,0.7,2.0,32.0,1.6,2.1,74.8,1.3,1.8,3.1,4.6,1.0,0.3,2.5,0.0,Unerfahren
Mitch McGary,32,30.4,6.3,2.8,5.2,53.3,0.0,0.1,0.0,0.8,1.3,62.5,1.7,3.5,5.2,0.4,0.5,0.5,1.0,0.0,Unerfahren
Larry Stewart,76,58.6,10.4,4.0,7.8,51.4,0.0,0.0,0.0,2.5,3.1,80.7,2.4,3.5,5.9,1.6,0.7,0.6,1.5,1.0,Erfahren
Mike Iuzzolino,52,49.2,9.3,3.1,6.8,45.1,1.1,2.6,43.4,2.1,2.5,83.6,0.5,1.4,1.9,3.7,0.6,0.0,1.8,0.0,Unerfahren
Doug Smith,76,45.0,8.8,3.8,9.2,41.5,0.0,0.1,0.0,1.2,1.6,73.6,1.7,3.4,5.1,1.7,0.8,0.5,1.3,1.0,Amateur
Paul Graham,78,44.0,10.1,3.9,8.7,44.7,0.7,1.8,39.0,1.6,2.2,74.1,0.9,2.0,3.0,2.2,1.2,0.3,1.2,0.0,Amateur
Donald Hodge,51,41.4,8.4,3.2,6.4,49.7,0.0,0.0,0.0,2.0,2.9,66.7,2.3,3.1,5.4,0.8,0.5,0.5,1.5,1.0,Unerfahren
Dale Davis,64,40.6,6.2,2.4,4.4,55.2,0.0,0.0,0.0,1.4,2.4,57.2,2.5,3.9,6.4,0.5,0.4,1.2,0.8,1.0,Unerfahren
Stanley Roberts,55,40.6,10.4,4.3,8.1,52.9,0.0,0.0,0.0,1.8,3.6,51.5,2.1,4.1,6.1,0.7,0.4,1.5,1.4,1.0,Unerfahren
Terrell Brandon,82,39.2,7.4,3.1,7.3,41.9,0.0,0.3,4.3,1.2,1.5,80.6,0.6,1.4,2.0,3.9,1.0,0.3,1.7,1.0,Amateur
Bison Dele,48,37.8,9.1,3.6,6.8,52.8,0.0,0.0,0.0,2.0,3.0,66.9,2.4,3.3,5.7,0.7,0.8,1.1,1.8,1.0,Unerfahren
Spencer Dinwiddie,34,26.8,4.3,1.5,5.0,30.2,0.4,1.9,18.5,0.9,1.0,91.2,0.1,1.3,1.4,3.1,0.6,0.2,1.0,0.0,Unerfahren
Tracy Moore,42,37.2,8.5,3.1,7.7,40.0,0.7,2.0,35.7,1.5,1.9,83.3,0.7,1.2,2.0,1.1,0.8,0.1,1.1,1.0,Unerfahren
Greg Anthony,82,36.8,5.5,2.0,5.3,37.0,0.1,0.7,14.5,1.4,1.9,74.1,0.4,1.3,1.7,3.8,0.7,0.1,1.2,1.0,Amateur
Kenny Anderson,64,34.0,7.0,2.9,7.5,39.0,0.0,0.2,23.1,1.1,1.5,74.5,0.6,1.4,2.0,3.2,1.1,0.1,1.5,1.0,Unerfahren
Victor Alexander,80,33.8,7.4,3.0,5.7,52.9,0.0,0.0,0.0,1.3,1.9,69.1,1.3,2.9,4.2,0.4,0.6,0.8,1.1,1.0,Amateur
David Benoit,77,30.2,5.6,2.3,4.9,46.7,0.0,0.2,21.4,1.1,1.3,81.0,1.4,2.5,3.8,0.4,0.3,0.6,0.9,1.0,Amateur
Kevin Lynch,55,29.8,4.1,1.7,4.1,41.7,0.1,0.1,37.5,0.6,0.8,76.1,0.5,1.0,1.5,1.5,0.7,0.2,0.8,0.0,Unerfahren
LaBradford Smith,48,29.6,5.1,2.1,5.1,40.7,0.0,0.4,9.5,0.9,1.2,80.4,0.6,1.1,1.7,2.1,0.9,0.0,1.3,0.0,Unerfahren
Chris Corchiani,51,29.0,5.0,1.5,3.8,39.9,0.2,0.7,27.0,1.8,2.0,87.5,0.4,1.2,1.5,2.8,0.9,0.0,1.4,0.0,Unerfahren
Travis Wear,51,26.4,3.9,1.6,4.1,40.2,0.2,0.6,36.7,0.4,0.5,76.9,0.6,1.5,2.1,0.8,0.3,0.2,0.7,0.0,Unerfahren
Robert Pack,72,24.8,4.6,1.6,3.8,42.3,0.0,0.1,0.0,1.4,1.8,80.3,0.4,0.9,1.3,1.9,0.6,0.1,1.3,1.0,Amateur
Pete Chilcutt,69,23.6,3.6,1.6,3.6,45.2,0.0,0.0,100.0,0.3,0.4,82.1,1.1,1.6,2.7,0.6,0.5,0.3,0.6,1.0,Unerfahren
Chris Gatling,54,22.6,5.7,2.2,3.8,56.8,0.0,0.1,0.0,1.3,2.0,66.1,1.4,2.0,3.4,0.3,0.6,0.7,0.8,1.0,Unerfahren
Tharon Mayes,24,21.2,4.1,1.3,4.1,30.3,0.6,1.7,36.6,1.0,1.5,66.7,0.1,0.5,0.7,1.5,0.7,0.1,1.3,0.0,Unerfahren
Eric Murdock,50,19.2,4.1,1.5,3.7,41.5,0.1,0.5,19.2,0.9,1.2,75.4,0.4,0.7,1.1,1.8,0.6,0.1,1.0,1.0,Unerfahren
Randy Brown,56,19.2,3.4,1.4,3.0,45.6,0.0,0.1,0.0,0.7,1.0,65.5,0.5,0.8,1.2,1.1,0.6,0.2,0.8,1.0,Unerfahren
Greg Sutton,67,18.0,3.7,1.4,3.6,38.8,0.4,1.3,29.2,0.5,0.7,75.6,0.1,0.6,0.7,1.4,0.4,0.1,1.0,0.0,Unerfahren
Elliot Perry,50,17.4,2.5,1.0,2.6,38.0,0.0,0.1,14.3,0.5,0.8,65.9,0.3,0.5,0.8,1.6,0.7,0.1,1.0,1.0,Unerfahren
Marty Conlon,45,17.0,2.7,1.1,2.2,47.5,0.0,0.0,0.0,0.5,0.7,75.0,0.7,0.8,1.5,0.3,0.2,0.2,0.6,1.0,Unerfahren
Rodney Monroe,38,16.4,3.4,1.4,3.8,36.8,0.2,0.7,22.2,0.5,0.6,82.6,0.3,0.6,0.9,0.7,0.3,0.1,0.6,0.0,Unerfahren
John Turner,42,16.4,2.8,1.0,2.3,43.9,0.0,0.0,0.0,0.7,1.4,52.5,0.9,1.0,1.9,0.3,0.1,0.1,0.8,0.0,Unerfahren
Mark Randall,54,16.4,3.2,1.3,2.8,45.6,0.1,0.3,18.8,0.6,0.8,74.4,0.7,0.6,1.3,0.6,0.2,0.1,0.5,0.0,Unerfahren
Sean Green,35,14.6,4.0,1.8,4.5,39.2,0.1,0.3,20.0,0.4,0.8,53.6,0.6,0.6,1.2,0.6,0.4,0.2,0.8,0.0,Unerfahren
Kevin Brooks,37,14.6,2.8,1.2,2.6,44.3,0.1,0.3,18.2,0.5,0.6,81.0,0.4,0.7,1.1,0.3,0.2,0.1,0.5,0.0,Unerfahren
Doug Lee,46,13.4,2.6,1.1,2.5,43.1,0.2,0.8,27.0,0.2,0.4,52.6,0.4,0.4,0.8,0.5,0.2,0.0,0.3,0.0,Unerfahren
Corey Crowder,51,12.8,2.2,0.8,2.2,38.4,0.3,0.6,43.3,0.3,0.4,83.3,0.3,0.5,0.8,0.3,0.1,0.0,0.3,0.0,Unerfahren
Rich King,40,10.6,2.2,0.7,1.8,38.0,0.0,0.0,0.0,0.9,1.1,75.6,0.5,0.7,1.2,0.3,0.1,0.1,0.5,0.0,Unerfahren
Stephen Thompson,19,9.6,1.6,0.7,1.9,37.8,0.0,0.1,0.0,0.2,0.4,37.5,0.6,0.4,1.0,0.4,0.3,0.2,0.3,0.0,Unerfahren
Charles Thomas,36,8.6,1.3,0.5,1.4,35.3,0.1,0.5,11.8,0.3,0.4,66.7,0.2,0.4,0.6,0.6,0.1,0.0,0.5,0.0,Unerfahren
Lionel Simmons,79,75.4,18.0,6.9,16.5,42.2,0.0,0.1,27.3,4.1,5.5,73.6,2.4,6.4,8.8,4.0,1.4,1.1,2.9,1.0,Erfahren
Gary Harris,55,26.2,3.4,1.2,3.9,30.4,0.4,1.9,20.4,0.6,0.9,74.5,0.4,0.8,1.2,0.5,0.7,0.1,0.7,0.0,Unerfahren
Derrick Coleman,74,70.4,18.4,6.9,14.9,46.7,0.2,0.5,34.2,4.4,6.0,73.1,3.6,6.6,10.3,2.2,1.0,1.3,2.9,1.0,Erfahren
Travis Mays,64,67.0,14.3,4.6,11.3,40.6,1.1,3.1,36.5,4.0,5.2,77.0,0.8,1.9,2.8,4.0,1.3,0.2,2.5,0.0,Unerfahren
Dennis Scott,82,57.0,15.7,6.1,14.4,42.5,1.5,4.1,37.4,1.9,2.5,75.0,0.8,2.1,2.9,1.6,0.8,0.3,1.6,1.0,Erfahren
Gary Payton*,82,54.8,7.2,3.2,7.0,45.0,0.0,0.2,7.7,0.8,1.2,71.1,1.3,1.6,3.0,6.4,2.0,0.2,2.2,1.0,Erfahren
Felton Spencer,81,51.8,7.1,2.4,4.7,51.2,0.0,0.0,0.0,2.2,3.1,72.2,3.4,4.6,7.9,0.3,0.6,1.5,0.9,1.0,Erfahren
Willie Burton,76,50.8,12.0,4.5,10.2,44.1,0.1,0.4,13.3,3.0,3.9,78.2,1.5,2.0,3.4,1.4,0.9,0.3,1.9,1.0,Erfahren
Dee Brown,82,47.4,8.7,3.5,7.5,46.4,0.1,0.4,20.6,1.7,1.9,87.3,0.5,1.7,2.2,4.2,1.0,0.2,1.7,0.0,Amateur
Dee Brown,82,47.4,8.7,3.5,7.5,46.4,0.1,0.4,20.6,1.7,1.9,87.3,0.5,1.7,2.2,4.2,1.0,0.2,1.7,1.0,Amateur
Dee Brown,49,18.4,1.9,0.7,2.0,32.7,0.1,0.6,21.4,0.5,0.8,64.9,0.2,0.7,0.8,1.7,0.5,0.1,0.6,0.0,Unerfahren
Dee Brown,49,18.4,1.9,0.7,2.0,32.7,0.1,0.6,21.4,0.5,0.8,64.9,0.2,0.7,0.8,1.7,0.5,0.1,0.6,1.0,Unerfahren
Kendall Gill,82,47.4,11.0,4.6,10.2,45.0,0.0,0.2,14.3,1.9,2.2,83.5,1.3,1.9,3.2,3.7,1.3,0.5,2.0,1.0,Amateur
Duane Causwell,76,45.2,6.9,2.8,5.4,50.8,0.0,0.0,0.0,1.4,2.2,63.6,1.9,3.3,5.1,0.9,0.6,1.9,1.3,1.0,Amateur
Mahmoud Abdul-Rauf,67,45.0,14.1,6.2,15.1,41.3,0.4,1.5,24.0,1.3,1.5,85.7,0.5,1.3,1.8,3.1,0.8,0.1,1.6,1.0,Unerfahren
A.J. English,70,41.2,8.8,3.6,8.2,43.9,0.0,0.4,9.7,1.6,2.2,70.7,0.9,1.2,2.1,2.5,0.4,0.2,1.6,0.0,Amateur
Danny Ferry,81,41.0,8.6,3.4,7.9,42.8,0.3,1.0,29.9,1.5,1.9,81.6,1.2,2.3,3.5,1.8,0.5,0.3,1.5,1.0,Amateur
Mario Elie,33,39.0,7.2,2.4,4.8,49.7,0.1,0.3,40.0,2.3,2.7,84.3,1.4,1.9,3.3,1.4,0.6,0.3,0.9,1.0,Unerfahren
Anthony Cook,58,38.6,5.3,2.0,4.9,41.7,0.0,0.1,0.0,1.2,2.2,55.0,2.3,3.3,5.6,0.4,0.6,1.2,0.9,0.0,Unerfahren
Gerald Paddio,70,33.8,7.2,3.0,7.2,41.9,0.1,0.3,25.0,1.1,1.3,79.6,0.5,1.1,1.7,1.3,0.3,0.1,1.0,0.0,Amateur
Bimbo Coles,82,33.0,4.9,2.0,4.8,41.2,0.1,0.4,17.6,0.9,1.2,74.7,0.7,1.2,1.9,2.8,0.8,0.1,1.2,1.0,Amateur
Bo Kimble,62,32.4,6.9,2.6,6.7,38.0,0.3,1.0,29.2,1.5,1.9,77.3,0.7,1.2,1.9,1.2,0.5,0.1,1.2,0.0,Unerfahren
Alec Kessler,78,32.2,6.2,2.6,6.0,42.5,0.0,0.1,0.0,1.1,1.7,67.2,1.5,2.8,4.3,0.4,0.2,0.3,1.4,0.0,Amateur
Loy Vaught,73,32.2,5.5,2.4,4.9,48.7,0.0,0.0,0.0,0.7,1.0,66.2,1.7,3.1,4.8,0.5,0.3,0.3,0.7,1.0,Amateur
Tyrone Hill,74,32.2,5.3,2.0,4.0,49.2,0.0,0.0,0.0,1.3,2.1,63.2,2.1,3.1,5.2,0.3,0.5,0.4,1.0,1.0,Amateur
Marcus Liberty,76,30.8,6.7,2.8,6.8,42.1,0.2,0.8,29.8,0.8,1.2,63.0,1.5,1.4,2.9,0.8,0.6,0.3,0.9,0.0,Amateur
Terry Mills,55,29.8,5.7,2.4,5.2,46.5,0.0,0.1,0.0,0.9,1.2,71.2,1.5,2.7,4.2,0.6,0.6,0.5,0.8,1.0,Unerfahren
Jamal Robinson,47,28.6,5.6,2.3,5.1,44.6,0.0,0.2,18.2,1.0,1.7,58.8,0.4,1.1,1.5,2.8,0.7,0.2,1.6,0.0,Unerfahren
Henry James,37,27.2,8.1,3.0,6.9,44.1,0.6,1.6,40.0,1.4,1.9,72.2,0.7,1.4,2.1,0.9,0.4,0.1,1.0,1.0,Unerfahren
Jerrod Mustaf,62,26.6,4.3,1.7,3.7,46.5,0.0,0.0,0.0,0.9,1.4,64.4,0.8,1.9,2.7,0.6,0.2,0.2,1.0,0.0,Unerfahren
Kevin Pritchard,62,25.0,3.9,1.4,3.7,38.4,0.1,0.5,16.1,1.0,1.2,80.5,0.3,0.8,1.0,1.3,0.5,0.1,0.9,0.0,Unerfahren
Gerald Glass,51,23.8,6.9,2.9,6.7,43.8,0.0,0.3,11.8,1.0,1.5,68.4,1.1,0.9,2.0,0.8,0.6,0.2,0.8,0.0,Unerfahren
Larry Robinson,36,23.6,3.9,1.7,4.2,41.3,0.0,0.0,0.0,0.4,0.8,55.6,0.8,0.6,1.4,1.0,0.4,0.0,0.8,1.0,Unerfahren
Jud Buechler,74,23.2,3.1,1.3,3.1,41.6,0.0,0.1,25.0,0.6,0.9,65.2,0.8,1.1,1.9,0.7,0.5,0.2,0.3,1.0,Amateur
Cedric Ceballos,63,23.2,8.2,3.2,6.7,48.7,0.0,0.1,16.7,1.7,2.6,66.3,1.2,1.2,2.4,0.6,0.3,0.1,1.1,1.0,Unerfahren
Kyle Anderson,33,21.6,2.2,0.9,2.7,34.8,0.1,0.3,27.3,0.3,0.4,64.3,0.2,2.0,2.2,0.8,0.5,0.2,0.3,0.0,Unerfahren
Greg Foster,54,22.4,4.4,1.8,3.9,46.0,0.0,0.1,0.0,0.8,1.1,68.9,1.0,1.8,2.8,0.7,0.2,0.4,0.8,1.0,Unerfahren
Brian Oliver,73,22.0,3.8,1.5,3.7,40.8,0.1,0.2,27.8,0.7,1.0,73.2,0.2,0.8,1.1,1.2,0.5,0.1,0.7,0.0,Amateur
Howard Wright,15,21.8,3.6,1.3,3.1,40.4,0.0,0.1,0.0,1.1,1.6,66.7,0.8,2.2,3.0,0.2,0.3,0.3,0.7,0.0,Unerfahren
Tony Smith,64,21.8,3.7,1.5,3.4,44.1,0.0,0.1,0.0,0.6,0.9,70.2,0.4,0.7,1.1,2.1,0.4,0.2,1.1,1.0,Unerfahren
Tate George,56,21.2,3.4,1.4,3.4,41.5,0.0,0.0,0.0,0.6,0.7,80.0,0.3,0.5,0.8,1.9,0.5,0.1,0.8,0.0,Unerfahren
Rick Calloway,64,21.2,3.2,1.2,3.0,39.1,0.0,0.0,0.0,0.9,1.2,69.6,0.4,0.8,1.2,1.0,0.3,0.1,0.8,0.0,Unerfahren
Steve Henson,68,20.2,3.1,1.2,2.8,41.8,0.3,0.8,33.3,0.6,0.6,90.5,0.2,0.5,0.8,1.9,0.5,0.0,0.6,1.0,Unerfahren
Andy Toolson,47,20.0,2.9,1.1,2.6,40.3,0.3,0.7,37.5,0.5,0.7,75.8,0.7,0.7,1.4,0.7,0.3,0.0,0.5,0.0,Unerfahren
Jayson Williams,52,19.6,3.5,1.4,3.1,44.7,0.0,0.0,50.0,0.7,1.1,66.1,0.8,1.3,2.1,0.3,0.2,0.1,0.8,1.0,Unerfahren
Kennard Winchester,64,19.0,3.7,1.5,3.8,40.0,0.1,0.3,40.0,0.5,0.7,77.8,0.5,0.5,1.0,0.4,0.3,0.2,0.5,0.0,Unerfahren
Johnny O'Bryant,34,21.6,2.9,1.3,3.5,36.7,0.0,0.0,0.0,0.4,0.8,44.4,0.8,1.1,1.9,0.5,0.1,0.1,0.7,0.0,Unerfahren
Dwayne Schintzius,42,19.0,3.8,1.6,3.7,43.9,0.0,0.0,0.0,0.5,1.0,55.0,0.7,2.2,2.9,0.4,0.1,0.7,0.8,1.0,Unerfahren
Sean Higgins,50,18.6,4.5,1.9,4.2,45.8,0.1,0.4,15.8,0.6,0.7,84.8,0.4,0.9,1.3,0.7,0.2,0.0,1.0,1.0,Unerfahren
Elden Campbell,52,14.6,2.8,1.1,2.4,45.5,0.0,0.0,0.0,0.6,0.9,65.3,0.8,1.1,1.8,0.2,0.2,0.7,0.3,1.0,Unerfahren
Kenny Williams,75,14.0,2.9,1.2,2.4,52.0,0.0,0.0,0.0,0.5,0.7,68.0,0.7,1.0,1.7,0.4,0.1,0.4,0.6,0.0,Amateur
Keith Askins,39,13.6,2.2,0.9,2.1,42.0,0.2,0.6,24.0,0.3,0.6,48.0,0.8,1.0,1.7,0.5,0.4,0.3,0.3,1.0,Unerfahren
Scott Williams,51,13.2,2.5,1.0,2.0,51.0,0.0,0.0,50.0,0.4,0.5,71.4,0.8,1.1,1.9,0.3,0.2,0.3,0.5,1.0,Unerfahren
Richard Coffey,52,12.4,1.3,0.5,1.4,37.3,0.0,0.0,0.0,0.2,0.4,54.5,0.8,0.7,1.5,0.1,0.1,0.1,0.1,0.0,Unerfahren
Steve Scheffler,39,11.6,1.5,0.5,1.0,51.3,0.0,0.0,0.0,0.5,0.5,90.5,0.5,0.6,1.2,0.2,0.1,0.1,0.1,1.0,Unerfahren
David Robinson*,82,73.2,24.3,8.4,15.9,53.1,0.0,0.0,0.0,7.5,10.2,73.2,3.7,8.3,12.0,2.0,1.7,3.9,3.1,1.0,Erfahren
James Young,31,21.4,3.4,1.2,3.3,35.3,0.5,2.1,25.8,0.5,0.9,55.2,0.3,1.1,1.4,0.4,0.3,0.1,0.2,0.0,Unerfahren
Tim Hardaway,79,67.4,14.7,5.9,12.5,47.1,0.3,1.1,27.4,2.7,3.5,76.4,0.7,3.2,3.9,8.7,2.1,0.1,3.3,0.0,Erfahren
Tim Hardaway,79,67.4,14.7,5.9,12.5,47.1,0.3,1.1,27.4,2.7,3.5,76.4,0.7,3.2,3.9,8.7,2.1,0.1,3.3,1.0,Erfahren
J.R. Reid,82,67.2,11.1,4.4,9.9,44.0,0.0,0.1,0.0,2.3,3.5,66.4,2.4,6.0,8.4,1.2,1.1,0.7,2.1,1.0,Erfahren
Pooh Richardson,82,63.0,11.4,5.2,11.3,46.1,0.3,1.0,27.7,0.8,1.3,58.9,0.7,2.0,2.6,6.8,1.6,0.3,1.7,1.0,Erfahren
Sherman Douglas,81,61.0,14.3,5.7,11.6,49.4,0.1,0.4,16.1,2.8,4.0,68.7,0.9,1.7,2.5,7.6,1.8,0.1,3.0,1.0,Erfahren
Sam Mitchell,80,60.4,12.7,4.7,10.4,44.6,0.0,0.1,0.0,3.4,4.4,76.8,2.3,3.5,5.8,1.1,0.8,0.7,1.2,1.0,Erfahren
Glen Rice,77,60.0,13.6,6.1,13.9,43.9,0.2,0.9,24.6,1.2,1.6,73.4,1.3,3.3,4.6,1.8,0.9,0.3,1.5,1.0,Erfahren
Glen Rice,77,60.0,13.6,6.1,13.9,43.9,0.2,0.9,24.6,1.2,1.6,73.4,1.3,3.3,4.6,1.8,0.9,0.3,1.5,0.0,Erfahren
Mookie Blaylock,50,50.6,10.1,4.2,11.4,37.1,0.4,1.6,22.5,1.3,1.6,77.8,0.8,2.0,2.8,4.2,1.6,0.3,2.2,1.0,Unerfahren
Sean Elliott,81,50.2,10.0,3.8,8.0,48.1,0.0,0.1,11.1,2.3,2.7,86.6,1.6,2.1,3.7,1.9,0.6,0.2,1.4,1.0,Erfahren
Blue Edwards,82,46.0,8.9,3.5,6.9,50.7,0.1,0.4,30.0,1.8,2.5,71.9,0.8,2.2,3.1,1.8,0.9,0.4,1.9,1.0,Amateur
Cory Jefferson,50,21.2,3.7,1.5,3.3,44.9,0.0,0.3,13.3,0.6,1.1,57.4,0.9,2.0,2.9,0.3,0.2,0.4,0.4,0.0,Unerfahren
Nick Anderson,81,44.0,11.5,4.6,9.3,49.4,0.0,0.2,5.9,2.3,3.3,70.5,1.3,2.6,3.9,1.5,0.8,0.4,1.7,1.0,Amateur
Stacey King,82,43.4,8.9,3.3,6.5,50.4,0.0,0.0,0.0,2.4,3.3,72.7,2.1,2.6,4.7,1.1,0.5,0.7,1.4,1.0,Amateur
Dana Barros,81,40.2,9.7,3.7,9.1,40.5,1.2,2.9,39.9,1.1,1.4,80.9,0.4,1.2,1.6,2.5,0.7,0.0,1.5,1.0,Amateur
Jeff Martin,69,39.2,6.3,2.5,6.0,41.1,0.0,0.2,13.3,1.3,1.9,70.5,1.1,1.2,2.3,0.6,0.6,0.2,0.7,0.0,Unerfahren
Clifford Robinson,82,38.2,9.1,3.6,9.2,39.7,0.1,0.5,27.3,1.7,3.1,55.0,1.3,2.4,3.8,0.9,0.7,0.7,1.6,1.0,Amateur
Winston Bennett,55,36.0,6.1,2.5,5.2,47.9,0.0,0.0,0.0,1.2,1.7,66.7,1.5,1.9,3.4,1.0,0.4,0.2,1.1,0.0,Unerfahren
Chucky Brown,75,35.8,7.3,2.8,6.0,47.0,0.0,0.1,0.0,1.7,2.2,76.2,1.1,2.0,3.1,0.7,0.4,0.3,0.9,1.0,Amateur
Michael Ansley,72,34.0,8.7,3.2,6.5,49.7,0.0,0.0,0.0,2.3,3.2,72.2,2.6,2.4,5.0,0.6,0.3,0.2,0.7,0.0,Amateur
Todd Lichti,79,33.6,8.0,3.2,6.5,48.6,0.0,0.2,0.0,1.6,2.2,74.7,0.6,1.3,1.9,1.5,0.7,0.2,1.2,1.0,Amateur
Noah Vonleh,25,20.8,3.3,1.2,3.0,39.5,0.2,0.5,38.5,0.7,1.0,69.2,1.1,2.3,3.4,0.2,0.2,0.4,0.4,0.0,Unerfahren
B.J. Armstrong,81,31.8,5.6,2.3,4.8,48.5,0.0,0.1,50.0,0.9,1.0,88.5,0.2,1.0,1.3,2.5,0.6,0.1,1.0,1.0,Amateur
Terry Davis,63,28.0,4.7,1.9,4.2,46.6,0.0,0.0,0.0,0.9,1.4,62.1,1.5,2.2,3.6,0.4,0.4,0.4,1.1,1.0,Unerfahren
Shawn Kemp,81,27.6,6.5,2.5,5.2,47.9,0.0,0.1,16.7,1.4,2.0,73.6,1.8,2.5,4.3,0.3,0.6,0.9,1.3,1.0,Amateur
Tom Hammonds,61,26.4,5.3,2.1,4.8,43.7,0.0,0.0,0.0,1.0,1.6,64.3,1.0,1.8,2.8,0.8,0.2,0.2,0.8,1.0,Unerfahren
Scott Haffner,43,26.0,4.6,2.0,5.0,40.6,0.1,0.5,14.3,0.4,0.6,68.0,0.2,1.0,1.2,1.9,0.3,0.1,0.8,0.0,Unerfahren
Randy White,55,25.8,4.3,1.7,4.6,36.9,0.0,0.3,7.1,0.9,1.6,56.2,1.4,1.7,3.1,0.4,0.4,0.1,0.8,1.0,Unerfahren
Kenny Battle,59,24.8,4.1,1.6,2.9,54.7,0.0,0.1,25.0,0.9,1.4,67.1,0.7,1.4,2.1,0.6,0.6,0.2,0.5,0.0,Unerfahren
